Facultad,Instituto,Proyecto
HUMANIDADES,Instituto de Historia,"La ocupación haitiana de Santo Domingo, 1822-1844"
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,"Cuestionario de problemas sociomorales (DIT) de Rest, con estudiantes de la Universidad Autónoma de Santo Domingo, primer semestre del año 2021."
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,La incidencia del cibermundo virtual en la República Dominicana (1998-2020)
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,Efectividad de un programa de ética y responsabilidad en el uso de la tecnología en el ámbito académico en estudiantes con asignaturas activas de la Facultad de Humanidades de la UASD
HUMANIDADES,Instituto de Investigaciones Lingüísticas y Literarias,"Análisis del discurso constitucionalista en los documentales: “Abril: la trinchera del honor” (1988); “Guerra constitucionalista del 65” (2006) y “Abril: bodas de oro con la patria” (2015),"
HUMANIDADES,Instituto de Psicología,Perfil Psicográfico del Estudiante Universitario Dominicano
HUMANIDADES,Instituto de Psicología,Viabilidad de grupo en comparación con autogestión de depresión utilizando una aplicación móvil para mejorar el cumplimiento de tratamiento entre pacientes de atención primaria en la República Dominicana
HUMANIDADES,Instituto de Psicología,Efectividad de un programa piloto para el fortalecimiento de las competencias investigativas en los estudiantes universitarios de la Facultad de Humanidades
INGENIERÍA Y ARQUITECTURA,Instituto de Energía,Estudio numérico y experimental del CO2 como refrigerante y su potencial en la República Dominicana.
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Bioconversión de gas de síntesis para la producción biotecnológica de alcoholes de orden superior a partir de Procesos fermentativos
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Metodos biotecnologicos y fisico-quimicos avanzados para el procesamiento de aguas residuales industriales con contaminantes emergentes (antibioticos betalactamicos)
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Estudio del Desgaste y la Resistencia Mecánica de Huesos de Humanos afectados por Osteoporosis aplicando Métodos Tribológicos y de la Mecánica Fractal
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Impacto por eutrofización del sistema anaeróbico de depuración de aguas residuales del Recinto UASD -Santiago.
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Rediseño de un reactor anaeróbico de flujo ascendente recinto Santiago
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Estimacion de la vulnerabilidad de la estructura de edificios de muros delgados de concreto ante un sismo
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Factores de emisión de dióxido de carbono y metano en sistemas anaeróbicos de tratamiento de aguas residuales y en vertederos de República Dominicana
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Evaluación de la amenaza sísmica y vulnerabilidad física y social en el valle del Cibao: avances para reducir los riesgos naturales y aumentar la resiliencia de la población en la República Dominicana
INGENIERÍA Y ARQUITECTURA,"Instituto de Tránsito, Movilidad y tatata",Evaluación del comportamiento de los peatones ante factores de riesgo de seguridad vial usando realidad virtual
INGENIERÍA Y ARQUITECTURA,Instituto de Urbanismo,La arquitectura como elemento transformador del entorno urbano. Caso Faro a Colón de Santo Domingo Este.
INGENIERÍA Y ARQUITECTURA,Instituto de Urbanismo,"Plan estratégico de desarrollo para el Distrito Municipal de Caleta, provincia La Romana. Cómo lo urbano, social y económico se escrutan para alcanzar un desarrollo sostenible del turismo."
