Facultad,Instituto,Proyecto
HUMANIDADES,Instituto de Historia,Catálogo de los protocolos notariales 1844-1861
HUMANIDADES,Instituto de Historia,"La ocupación haitiana de Santo Domingo, 1822-1844"
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,"Cuestionario de problemas sociomorales (DIT) de Rest, con estudiantes de la Universidad Autónoma de Santo Domingo, primer semestre del año 2021."
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,La incidencia del cibermundo virtual en la República Dominicana (1998-2020)
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,Efectividad de un programa de ética y responsabilidad en el uso de la tecnología en el ámbito académico en estudiantes con asignaturas activas de la Facultad de Humanidades de la UASD
HUMANIDADES,Instituto de Investigaciones Fiolosóficas,"Construcción y validación de instrumento para medir el desarrollo ético en estudiantes de la Universidad Autónoma de Santo Domingo, 2024-2026"
HUMANIDADES,Instituto de Investigaciones Lingüísticas y Literarias,"Análisis del discurso constitucionalista en los documentales: “Abril: la trinchera del honor” (1988); “Guerra constitucionalista del 65” (2006) y “Abril: bodas de oro con la patria” (2015), "
HUMANIDADES,Instituto de Psicología,Perfil Psicográfico del Estudiante Universitario Dominicano
HUMANIDADES,Instituto de Psicología,Efectividad de un programa piloto para el fortalecimiento de las competencias investigativas en los estudiantes universitarios de la Facultad de Humanidades
CIENCIAS,Instituto de Física,Estudio de dosímetros termoluminiscentes a partir de nuevos materiales para servicios en el sector salud
CIENCIAS,Instituto de Física,Contaminación del  aire por metales pesados y radionúclidos en aerosoles atmosféricos de zonas urbanas: Contribución a la gestión de la calidad del aire del Distrito Nacional
CIENCIAS,Instituto de Física,Bioimpedancia eléctrica en pacientes con cáncer.
CIENCIAS,Instituto de Física,Materiales inteligentes en la monitorización de la salud estructural de infraestructuras civiles y de transporte
CIENCIAS,Instituto de Física,Concepciones Previas de Cinemática y Leyes de Newton en Estudiantes de Ciencias e Ingeniería
CIENCIAS,Instituto de Física,Adsorción de moléculas poliatómicas puras y sus mezclas sobre superficies sólidas: teoría y simulación de Monte Carlo
CIENCIAS,Instituto de Física,Mejorando la enseñanza de Física en América Latina: Identificación de características de Docentes y Centros Educativos mediante Machine Learning y la Base de Datos de PISA
CIENCIAS,Instituto de Física,Aula invertida como innovación en la enseñanza de la Física y su impacto en el rendimiento académico de los estudiantes de la UASD Recinto San Francisco de Macorís y Sede Central: propuesta de intervención
CIENCIAS,Instituto de Física,"Evaluación de metales pesados en aire, suelo y sedimentos en áreas adyacentes a la central termoeléctrica Punta Catalina, Bani, República Dominicana"
CIENCIAS,Instituto de Física,"Modelaje DFT y caracterización de propiedades ópticas y eléctricas de películas delgadas de materiales bidimensionales (2D), para fabricación de dispositivos ópticos multicapas, aplicados en EUV nanolitografía."
CIENCIAS,Instituto de Física,Caracterización de las propiedades semiconductoras del diseleniuro de germanio (GeSe₂) y de las propiedades topológicas del staneno (Sn en 2D) usando inteligencia artificial
CIENCIAS,Centro Nacional de Sismología,Determinación de los riesgos Sísmico y de tsunami en las zonas costeras y establecimiento de un Sistema de Alerta Temprana en República Dominicana
CIENCIAS,Instituto de Matemáticas,Un modelo matemático para predecir el comportamiento de  la epidemia de coronavirus (COVID-19) en República Dominicana
CIENCIAS,Instituto de Matemáticas,Series de Fourier-Sobolev para productos Discreto-Continuos
CIENCIAS,Instituto de Matemáticas,Esturctura Típica del Grupo Multiplicativo Módulo N
CIENCIAS,Instituto de Matemáticas,Integralidad y no integralidad de Campos Vectoriales Polinomiales en el Plano Complejo mediante Teoría de Galois Diferencial
CIENCIAS,Instituto de Matemáticas,Aproximación Semiclásica de Sistemas Hamiltonianos con potenciales Homogéneos de dos grados de libertad y osciladores no autónomos
CIENCIAS,Instituto de Matemáticas,Primitivas iteradas de los polinomios de Laguerre y aplicaciones
CIENCIAS,Instituto de Matemáticas,"Efectividad de una Metodología basada en los Estilos de Aprendizaje en la Enseñanza de la Matemática del ciclo básico, en la Docencia Universitaria Dominicana"
CIENCIAS,Instituto de Matemáticas,Polinomios de Laguerre-Sobolev y aplicaciones a las ecuaciones lineales en diferencias
CIENCIAS,Instituto de Matemáticas,Aportes teóricos-prácticos-tecnológicos a la didáctica del pensamiento variacional con el uso de recursos educativos inteligentes en el Cálculo Diferencial y su efecto en el desempeño autónomo de estudiantes universitarios dominicanos en la solución de problemas matemáticos
CIENCIAS,Instituto de Matemáticas,Ortogonalidad no estándar y aplicaciones a la teoría de aproximación
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Creando conocimiento sobre los polinizadores del cacao en sistemas agroforestales de la República Dominicana a fin de mejorar las prácticas de manejo
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,"Malacofauna dulceacuícola de la República Dominicana: Biomonitoreo, amenazas y estado de conservación. Tres décadas de vacío de información"
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Evaluación de la pesquería de larvas de anguila americana (Anguilla rostrata) en el litoral de la costa atlántica de la República Dominicana
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Biomonitoreo acuático participativo en la cuenca del río Yaque del Norte (municipio Santiago de los Caballeros) y humedales en el municipio San Antonio de Guerra
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Utilización de micorrizas nativas de la rizosfera para mejorar la gestión de dos especies endémicas de flora amenazadas en la República Dominicana: Omphalea ekmanii y Mora abbottii.
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Evaluación del rol de los parques urbanos para la protección de la diversidad biológica utilizando las hormigas como agentes indicadoras de fragmentación
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Estado y gestión de la Colección Ictiológica del Instituto de Investigaciones Botánicas y Zoológicas Prof. Rafael M. Moscoso: un enfoque integral para mejorar la conservación y accesibilidad de los especímenes
